amount,payment_method,failure_reason,customer_success_rate,retry_count,day_of_week,hour_of_day,is_recovered
804.96,CARD,insufficient_balance,0.9815150497157171,1,2,0,0
1527.31,UPI,bank_timeout,0.7215852609703581,1,0,16,0
2908.94,UPI,insufficient_balance,0.8850556400372456,2,6,1,0
679.14,NETBANKING,network_error,0.9096167041257339,1,6,5,0
910.82,UPI,insufficient_balance,0.7330438562109827,2,1,9,0
362.73,UPI,bank_timeout,0.8768672321025266,1,1,1,1
331.55,UPI,network_error,0.9690344379476709,0,0,8,0
2471.36,UPI,bank_timeout,0.47602240162507986,1,3,2,1
4256.66,NETBANKING,insufficient_balance,0.5976210214992987,1,4,14,0
1020.44,CARD,invalid_payment_details,0.7323539917092503,0,5,4,0
2991.51,CARD,account_issue,0.8375115274718226,0,0,10,0
1574.41,NETBANKING,network_error,0.5722362451195815,3,3,1,0
575.29,UPI,network_error,0.5946561103466157,1,4,17,1
1574.03,UPI,bank_timeout,0.6740388326193933,2,0,9,1
5105.31,CARD,insufficient_balance,0.8397314681630588,1,4,13,1
1058.04,UPI,insufficient_balance,0.6860673694883277,0,5,20,0
5242.97,UPI,invalid_payment_details,0.4702383970137971,0,4,4,0
79.86,UPI,insufficient_balance,0.5930274254888865,1,4,5,0
2494.65,NETBANKING,network_error,0.3750097293144567,0,3,10,1
1196.37,UPI,insufficient_balance,0.7471225083644646,0,5,17,1
813.21,CARD,account_issue,0.7152698712278814,1,6,2,0
1202.02,UPI,insufficient_balance,0.8647607565183683,1,6,15,0
150.27,UPI,network_error,0.6675145007405403,1,2,8,1
880.36,CARD,invalid_payment_details,0.4244227637918799,1,6,20,0
1567.3,NETBANKING,network_error,0.8476458452476181,1,4,6,1
4807.32,UPI,network_error,0.9699122449208308,0,5,10,1
653.1,UPI,bank_timeout,0.7302950494513698,0,6,8,1
488.58,UPI,bank_timeout,0.7507083718736806,2,6,17,0
663.97,CARD,insufficient_balance,0.5960372187158905,2,3,23,0
2739.15,UPI,insufficient_balance,0.5767125217507844,1,6,14,0
1523.48,UPI,account_issue,0.5186472903636737,1,4,10,0
645.64,CARD,temporary_bank_error,0.8682266865171763,1,5,7,1
1832.19,UPI,bank_timeout,0.6346439619065346,1,1,12,0
1208.43,UPI,account_issue,0.6364656441238904,2,0,12,0
2888.94,CARD,network_error,0.4496174137220729,1,0,9,0
543.45,NETBANKING,temporary_bank_error,0.5411835314466628,1,2,18,0
790.24,NETBANKING,account_issue,0.48197373512320996,0,1,6,0
740.92,UPI,network_error,0.8859965495810909,2,0,15,0
253.78,NETBANKING,insufficient_balance,0.45549864998934747,0,2,9,0
1474.57,CARD,insufficient_balance,0.7375021206305395,2,4,4,0
1423.76,UPI,insufficient_balance,0.8299078676656358,1,4,3,1
1102.26,CARD,invalid_payment_details,0.7561107941144167,4,3,20,0
867.32,UPI,bank_timeout,0.7070859964929161,1,6,1,0
266.3,CARD,bank_timeout,0.7194244649629498,2,5,22,0
720.07,CARD,temporary_bank_error,0.8571135049171051,1,1,0,1
778.43,CARD,invalid_payment_details,0.4907036301597504,1,4,23,0
491.63,UPI,account_issue,0.4564165128409541,1,3,12,1
933.29,CARD,insufficient_balance,0.8988740205393528,0,0,10,0
1642.63,UPI,insufficient_balance,0.5141292638400785,0,1,7,0
7231.39,NETBANKING,insufficient_balance,0.7307337222613183,1,3,11,0
1305.81,CARD,account_issue,0.6688690309781383,0,5,20,0
1418.78,UPI,bank_timeout,0.8136575275232867,0,2,23,1
1017.96,UPI,insufficient_balance,0.6435795066124417,0,5,11,1
160.97,CARD,account_issue,0.5510610419193871,1,3,1,0
1067.94,UPI,insufficient_balance,0.5870678972908191,2,4,5,1
1164.71,CARD,bank_timeout,0.6129080346578744,1,6,10,0
12877.57,UPI,account_issue,0.4188626924408383,1,5,3,0
904.73,CARD,network_error,0.7728867186671712,1,2,8,1
1482.59,UPI,temporary_bank_error,0.42520131117157905,1,6,10,0
1059.22,UPI,bank_timeout,0.6433406822549492,0,5,0,1
340.81,NETBANKING,insufficient_balance,0.7789180557564849,3,6,20,0
3438.61,CARD,insufficient_balance,0.5858892896352331,1,5,15,0
2326.06,UPI,bank_timeout,0.6258671692998364,2,3,16,1
2418.81,NETBANKING,invalid_payment_details,0.4324078938090822,1,0,18,0
441.69,UPI,temporary_bank_error,0.9107799757753071,1,6,9,1
4459.51,CARD,temporary_bank_error,0.45884173858650545,2,4,13,0
269.93,UPI,bank_timeout,0.4615172203840293,0,1,17,1
1972.11,UPI,network_error,0.5832242474355539,0,4,18,0
9803.12,UPI,bank_timeout,0.6331136028148487,0,3,13,1
407.26,UPI,bank_timeout,0.5272549247773519,5,3,19,1
622.47,CARD,insufficient_balance,0.7559281131063204,1,5,23,0
1211.54,CARD,insufficient_balance,0.49491705761153665,1,6,20,0
662.83,UPI,bank_timeout,0.7913001266899136,3,4,8,0
232.6,UPI,insufficient_balance,0.7399938159251259,4,2,0,0
1174.46,CARD,invalid_payment_details,0.8216122029140613,2,1,8,0
379.06,UPI,account_issue,0.9187264116447131,0,2,6,0
1760.92,UPI,network_error,0.6272308330560193,0,3,6,1
437.28,UPI,insufficient_balance,0.8099534216778023,0,3,14,1
5166.42,UPI,network_error,0.9563223851104077,0,6,15,1
501.07,UPI,network_error,0.5900550760026367,3,1,17,0
794.68,CARD,bank_timeout,0.8524460551299545,0,5,0,0
2473.82,UPI,network_error,0.6729443438742803,0,2,21,0
320.26,CARD,invalid_payment_details,0.6855484823973882,0,4,10,0
1376.72,UPI,account_issue,0.6904410346405727,2,1,11,0
4052.72,UPI,bank_timeout,0.9581928555725749,0,4,12,1
219.76,UPI,insufficient_balance,0.5592848285466763,2,1,7,0
1319.01,CARD,bank_timeout,0.8340637350240577,0,2,1,1
1422.09,UPI,temporary_bank_error,0.4874189306839261,0,1,20,0
2396.64,UPI,invalid_payment_details,0.9066400189364304,1,2,0,0
318.32,CARD,insufficient_balance,0.6582595244297941,1,1,2,1
292.82,UPI,account_issue,0.7182865803426398,2,2,17,1
1848.15,CARD,insufficient_balance,0.7510692711502723,1,0,7,0
1475.84,NETBANKING,bank_timeout,0.7361828267482644,2,5,19,0
1408.8,UPI,invalid_payment_details,0.6706677835387598,1,5,15,0
1550.68,UPI,bank_timeout,0.7505822337532831,3,5,8,1
555.56,UPI,bank_timeout,0.6239720982206335,0,4,1,0
1383.34,CARD,insufficient_balance,0.5525333739529105,0,2,4,1
1470.08,UPI,insufficient_balance,0.4748267639286019,1,0,9,0
536.81,CARD,invalid_payment_details,0.8100384270800782,2,6,7,0
7085.28,CARD,invalid_payment_details,0.5162280141548737,2,4,21,0
1761.34,UPI,invalid_payment_details,0.729531021880671,1,5,11,0
333.18,CARD,insufficient_balance,0.42317042098240476,2,2,7,0
2114.46,UPI,account_issue,0.9249847235438696,0,2,21,0
413.77,UPI,insufficient_balance,0.9724900972489628,0,1,17,0
2409.28,CARD,insufficient_balance,0.704814587393251,1,6,0,0
3493.28,UPI,bank_timeout,0.5468264049205109,2,6,7,1
482.66,UPI,bank_timeout,0.2828687482967745,1,6,8,0
2873.76,CARD,insufficient_balance,0.6351003041003426,0,0,1,1
1657.03,CARD,insufficient_balance,0.7025382397028669,1,0,2,0
2495.04,UPI,network_error,0.8625821708457264,0,6,1,1
7308.5,CARD,insufficient_balance,0.5278828422098457,1,6,17,0
858.01,UPI,insufficient_balance,0.7434412191970041,2,3,10,1
516.08,CARD,bank_timeout,0.5767105344930941,1,3,21,1
450.56,CARD,insufficient_balance,0.7148834317452093,1,0,7,0
485.02,UPI,bank_timeout,0.8024455997234978,5,2,5,0
1015.26,UPI,temporary_bank_error,0.6256087917287532,2,3,19,0
1542.49,CARD,insufficient_balance,0.9059336626850517,0,0,1,0
1446.19,CARD,temporary_bank_error,0.5733786284489739,1,1,11,0
2507.86,UPI,insufficient_balance,0.33318677764480814,1,1,14,1
1110.98,UPI,insufficient_balance,0.7761440000839532,0,3,20,0
4691.62,UPI,account_issue,0.8060444227752666,0,1,3,0
841.63,UPI,account_issue,0.615564213130103,0,4,17,0
16650.06,CARD,bank_timeout,0.8879194548236174,1,1,7,0
2050.15,UPI,insufficient_balance,0.5748009352110962,1,5,6,0
465.37,CARD,account_issue,0.7053914103348928,0,0,7,0
375.82,NETBANKING,temporary_bank_error,0.7974160988702419,5,4,21,0
1776.63,NETBANKING,temporary_bank_error,0.8543182867700625,0,4,15,1
877.03,UPI,network_error,0.4902856507216135,0,1,15,0
2239.48,CARD,account_issue,0.6489413203586113,2,1,18,0
1760.3,NETBANKING,invalid_payment_details,0.8059986508557337,1,2,22,0
1019.61,UPI,account_issue,0.4254516869184825,0,6,23,0
470.22,UPI,temporary_bank_error,0.8441453140344954,0,2,0,0
241.09,NETBANKING,invalid_payment_details,0.6525624774962979,0,4,21,0
701.69,UPI,network_error,0.5436780481813592,3,5,6,0
2582.2,NETBANKING,insufficient_balance,0.6025016602654684,1,3,7,0
1358.44,UPI,bank_timeout,0.5746995374188671,1,5,2,1
315.53,UPI,invalid_payment_details,0.7318659925804676,3,0,12,0
1303.99,UPI,insufficient_balance,0.8643393369965956,0,0,6,0
1612.14,UPI,insufficient_balance,0.6482308630051427,0,6,3,1
453.11,UPI,insufficient_balance,0.8079216758142044,1,6,12,0
1278.86,UPI,temporary_bank_error,0.8675313085988589,4,3,3,1
1162.36,UPI,account_issue,0.8543412608814281,3,1,7,0
349.68,UPI,insufficient_balance,0.6034327309090326,1,5,17,0
1568.36,UPI,insufficient_balance,0.30193650554489293,0,5,20,0
1921.35,CARD,network_error,0.5607907986621549,2,6,2,1
3239.1,UPI,bank_timeout,0.6304025401237302,1,5,10,1
3145.73,CARD,insufficient_balance,0.9166352927649575,2,6,19,1
276.53,CARD,temporary_bank_error,0.8812321137729863,1,4,13,1
429.31,UPI,network_error,0.9626317144944831,0,2,23,1
1835.43,UPI,network_error,0.6309500522975141,1,5,9,0
1833.14,NETBANKING,invalid_payment_details,0.6461654545727695,0,3,4,0
1835.46,CARD,insufficient_balance,0.8879551705876743,0,0,1,1
51675.11,UPI,bank_timeout,0.7434163650315194,1,4,3,1
1940.87,CARD,bank_timeout,0.7707488209415556,2,1,8,0
3413.75,UPI,temporary_bank_error,0.6449392611453911,1,3,5,0
2846.94,UPI,insufficient_balance,0.7149549619415435,1,0,2,0
2103.57,UPI,account_issue,0.746284959197511,1,2,16,0
800.1,UPI,bank_timeout,0.7815010484091942,3,6,20,0
2342.49,NETBANKING,invalid_payment_details,0.6534680049992023,1,3,21,0
506.32,CARD,invalid_payment_details,0.41607048653621254,2,2,5,0
865.39,CARD,insufficient_balance,0.8504302774789284,3,2,9,0
674.95,UPI,insufficient_balance,0.5180595936038549,1,0,3,0
1190.2,UPI,insufficient_balance,0.8833624639513384,0,0,14,0
11099.54,UPI,bank_timeout,0.6509338047506071,0,5,3,1
169.48,UPI,temporary_bank_error,0.8252396278286642,1,1,12,1
2178.21,UPI,insufficient_balance,0.9135458930282306,0,1,18,1
218.61,UPI,bank_timeout,0.8724869431443578,0,5,5,1
684.08,UPI,invalid_payment_details,0.8916665727913352,2,0,4,0
3258.27,NETBANKING,temporary_bank_error,0.6795731164716073,1,1,15,1
1169.44,NETBANKING,network_error,0.36363210874511126,1,2,12,0
373.25,UPI,invalid_payment_details,0.8521143547917823,2,2,14,0
536.3,CARD,insufficient_balance,0.776464558154099,3,6,12,0
2163.75,UPI,insufficient_balance,0.3998483574211362,3,3,5,0
528.28,UPI,insufficient_balance,0.6910333988731139,1,4,10,0
1361.66,NETBANKING,bank_timeout,0.6911302349633207,0,0,14,0
1147.76,CARD,bank_timeout,0.6640801798694975,0,6,7,1
571.58,UPI,insufficient_balance,0.8797600143417926,1,2,17,0
9357.6,UPI,insufficient_balance,0.703713719469694,2,6,14,0
2067.14,NETBANKING,insufficient_balance,0.5946068302172102,1,3,12,0
144.73,UPI,insufficient_balance,0.6913005921664964,0,5,11,0
1321.41,UPI,temporary_bank_error,0.7695679743915171,1,6,1,1
565.78,NETBANKING,temporary_bank_error,0.36324894794843665,0,5,5,0
2571.99,UPI,insufficient_balance,0.4995091443370819,2,3,11,0
496.45,UPI,insufficient_balance,0.4209769240492687,1,0,7,0
977.76,UPI,invalid_payment_details,0.5656218889701135,0,3,19,0
1817.08,CARD,insufficient_balance,0.9789067037451522,2,3,22,0
2606.48,CARD,temporary_bank_error,0.579917073847733,2,1,23,0
330.2,UPI,insufficient_balance,0.3601981395857573,1,0,6,0
784.85,UPI,bank_timeout,0.7831483873657124,1,3,0,1
682.02,UPI,account_issue,0.708126329441353,2,3,9,0
570.59,UPI,insufficient_balance,0.7617471509388554,0,1,11,0
6408.97,UPI,insufficient_balance,0.8587368491715461,2,0,5,0
1644.15,UPI,invalid_payment_details,0.9441241586624229,1,4,10,0
310.79,UPI,temporary_bank_error,0.7486875991538059,2,6,21,0
2745.89,NETBANKING,network_error,0.9035712352120423,0,2,7,0
9155.92,UPI,invalid_payment_details,0.6615207979967723,0,3,4,0
3079.32,UPI,temporary_bank_error,0.9449730251929644,1,6,19,1
240.0,UPI,insufficient_balance,0.643449821900679,1,1,0,0
675.71,CARD,insufficient_balance,0.708003934967883,3,2,2,1
3892.91,UPI,insufficient_balance,0.6478817514963733,0,0,1,0
540.41,UPI,insufficient_balance,0.7399297282413151,0,5,19,0
1709.27,CARD,account_issue,0.3777785600012134,2,0,17,0
2379.47,NETBANKING,insufficient_balance,0.8818535415250957,0,2,7,0
434.01,CARD,insufficient_balance,0.5206877750463745,1,6,4,0
1033.26,UPI,insufficient_balance,0.25564042006394083,1,4,13,0
42.89,UPI,insufficient_balance,0.8279792157871348,1,4,13,1
393.71,CARD,insufficient_balance,0.6853496189407008,1,5,3,0
851.87,UPI,insufficient_balance,0.8522153960164148,1,4,11,0
314.89,UPI,invalid_payment_details,0.5273966032524734,3,2,2,0
5610.59,NETBANKING,account_issue,0.7276112761415537,1,6,23,0
262.4,CARD,invalid_payment_details,0.5125029475744757,1,1,21,0
706.24,CARD,invalid_payment_details,0.8786600842325265,2,4,9,0
1249.8,CARD,temporary_bank_error,0.7330036215244714,4,5,9,1
4634.45,CARD,insufficient_balance,0.40573893589293875,0,2,6,0
260.9,CARD,temporary_bank_error,0.8902946559759369,2,5,5,0
3509.27,UPI,bank_timeout,0.5642920192550978,0,3,21,0
1107.91,NETBANKING,insufficient_balance,0.8501162475542199,1,4,8,1
410.96,UPI,network_error,0.7192430547734207,4,5,11,1
1740.81,UPI,insufficient_balance,0.4952104414678104,1,5,7,0
1338.17,UPI,insufficient_balance,0.7467812593428689,2,0,2,0
601.71,UPI,insufficient_balance,0.9737247833175475,1,4,8,0
1175.92,UPI,bank_timeout,0.7362819240657468,1,4,1,1
745.97,UPI,invalid_payment_details,0.9022857592472935,0,3,14,0
1228.46,UPI,insufficient_balance,0.7939940589047311,0,4,5,1
2126.28,UPI,account_issue,0.36825292625450784,0,0,2,0
5356.24,UPI,insufficient_balance,0.519323027017047,1,0,18,0
318.04,UPI,insufficient_balance,0.8356768904493683,0,5,18,0
9256.06,UPI,insufficient_balance,0.6925410548958494,0,4,3,0
155.7,CARD,invalid_payment_details,0.7906886126551894,1,6,15,0
942.2,UPI,temporary_bank_error,0.8779495743015552,0,3,6,0
1974.99,UPI,insufficient_balance,0.8881294156031744,1,6,0,1
1452.43,UPI,temporary_bank_error,0.9076570117291252,1,3,16,0
588.34,CARD,account_issue,0.5168512538628058,2,3,23,0
890.58,CARD,insufficient_balance,0.763145661105887,1,4,22,0
669.81,UPI,bank_timeout,0.6515450265314202,2,2,20,1
608.28,CARD,invalid_payment_details,0.8665017476748548,1,3,5,0
2564.71,CARD,bank_timeout,0.8876763189241011,2,0,2,0
1567.15,CARD,bank_timeout,0.7179400300384574,2,5,7,1
548.45,UPI,bank_timeout,0.8650746772018548,1,5,6,1
2696.2,CARD,insufficient_balance,0.8149753304543871,0,1,17,0
1491.14,UPI,insufficient_balance,0.9069648349235022,2,4,4,0
2472.2,CARD,network_error,0.34747502694173,2,6,6,0
2058.29,CARD,account_issue,0.8234576604381786,0,6,16,0
478.67,CARD,account_issue,0.9754702977113524,2,2,16,0
626.29,UPI,network_error,0.6786384136601197,0,6,4,0
2315.3,CARD,insufficient_balance,0.9449123838297515,0,2,18,0
2019.03,UPI,insufficient_balance,0.600865713041176,3,2,5,0
1073.95,UPI,invalid_payment_details,0.5542532476337155,2,4,22,1
1233.15,UPI,bank_timeout,0.8688109182734054,1,5,16,1
3935.0,CARD,network_error,0.788081071538579,0,1,19,0
606.94,UPI,insufficient_balance,0.560814747050989,2,3,1,0
1895.23,UPI,insufficient_balance,0.5675777496434942,1,1,0,0
895.88,UPI,insufficient_balance,0.7976319785534095,1,4,2,1
882.11,CARD,account_issue,0.911054364629413,0,1,13,0
3290.44,CARD,network_error,0.8742257332059075,2,2,9,1
2503.43,CARD,network_error,0.6214507231486754,0,0,14,0
2473.8,UPI,temporary_bank_error,0.5940372153786277,2,1,18,1
4045.98,NETBANKING,insufficient_balance,0.5958233525504634,0,4,11,0
1119.91,CARD,insufficient_balance,0.5075328415388637,0,5,3,0
2168.85,CARD,insufficient_balance,0.4595252990186604,1,5,4,0
804.11,CARD,bank_timeout,0.5920650197253896,1,3,11,1
1516.51,NETBANKING,invalid_payment_details,0.8436903506191343,2,6,16,1
962.81,CARD,invalid_payment_details,0.7511996421231165,3,6,9,0
1208.33,UPI,bank_timeout,0.5884092246029669,0,1,22,0
1988.54,UPI,network_error,0.8592767159774348,0,2,1,0
483.85,CARD,invalid_payment_details,0.7040606530281135,0,0,2,0
8887.38,UPI,network_error,0.8684631028124531,1,1,21,1
401.01,CARD,insufficient_balance,0.7414791979087565,0,1,4,0
325.65,UPI,account_issue,0.783713778254446,3,4,13,0
3491.58,UPI,account_issue,0.4252829021130692,0,0,20,0
2420.34,UPI,network_error,0.4845250629948589,2,3,14,1
2046.98,CARD,insufficient_balance,0.9198879304410956,0,3,11,0
2055.65,CARD,insufficient_balance,0.8813544602037608,1,1,12,1
1083.28,UPI,bank_timeout,0.5118323033366106,1,3,13,1
447.08,UPI,insufficient_balance,0.8132266124119086,3,6,16,0
1182.99,UPI,bank_timeout,0.9342854698676195,1,2,9,0
557.15,UPI,insufficient_balance,0.9156296024579157,2,2,18,1
2907.71,UPI,bank_timeout,0.19641693360649326,1,1,10,0
946.66,CARD,insufficient_balance,0.9074455426291397,3,0,17,0
480.34,NETBANKING,temporary_bank_error,0.6613887749373818,3,5,15,0
795.22,UPI,insufficient_balance,0.8956159171301289,3,2,9,0
1657.28,UPI,bank_timeout,0.5313254430587033,0,5,22,0
624.08,CARD,insufficient_balance,0.6340110633210069,2,1,4,0
481.92,NETBANKING,insufficient_balance,0.9149556777034047,1,3,10,0
1399.24,NETBANKING,network_error,0.5399810253244351,1,3,11,1
1401.04,UPI,insufficient_balance,0.7968598335346362,0,5,13,0
660.54,UPI,network_error,0.6079609162012627,1,4,2,0
684.69,UPI,insufficient_balance,0.9453179456747557,1,6,16,1
1383.05,CARD,bank_timeout,0.8458606799514953,2,0,18,1
257.73,CARD,account_issue,0.7734613512371099,0,6,14,0
268.42,UPI,temporary_bank_error,0.8831969210087338,0,2,14,0
534.62,CARD,bank_timeout,0.6349071343968853,2,5,8,0
885.85,UPI,invalid_payment_details,0.9038021446876799,0,5,12,0
1496.53,NETBANKING,invalid_payment_details,0.8313453451616424,0,3,10,0
4795.13,UPI,insufficient_balance,0.9684163748161468,1,5,21,0
2585.46,UPI,invalid_payment_details,0.5083528673388436,1,0,20,0
934.55,UPI,network_error,0.6523659572398799,1,5,21,0
1075.98,UPI,insufficient_balance,0.6905936829611048,0,6,12,0
402.41,CARD,temporary_bank_error,0.30086398732973835,0,4,4,1
1076.52,UPI,insufficient_balance,0.6294048796256618,0,1,10,0
821.67,CARD,bank_timeout,0.655761568152288,1,4,16,1
1514.32,UPI,bank_timeout,0.710188382437547,3,5,0,1
479.51,UPI,network_error,0.9293341712859844,0,2,3,1
1843.36,CARD,network_error,0.5824445320204659,2,4,4,0
5078.34,NETBANKING,insufficient_balance,0.8528149122192884,3,6,22,1
983.62,UPI,insufficient_balance,0.34196279044819294,1,0,6,0
1638.79,NETBANKING,insufficient_balance,0.9023008392768964,3,0,8,0
2186.69,CARD,insufficient_balance,0.5268120947214807,0,2,23,0
734.2,UPI,invalid_payment_details,0.8807968984650322,2,2,21,0
1372.09,CARD,account_issue,0.6325424894559568,0,0,18,0
1110.53,UPI,bank_timeout,0.691658641841722,1,1,18,0
1209.15,UPI,insufficient_balance,0.5456544837059193,2,4,4,1
506.23,CARD,bank_timeout,0.5418291618239669,0,4,5,1
1123.84,UPI,insufficient_balance,0.5859440983243637,1,2,14,0
1804.43,UPI,account_issue,0.8243278157211845,1,6,8,0
4680.42,UPI,insufficient_balance,0.5968257462944057,0,3,4,0
2861.99,CARD,bank_timeout,0.586786715347448,1,3,6,0
9444.45,CARD,bank_timeout,0.8758432876905508,0,3,7,1
509.1,UPI,temporary_bank_error,0.6805595090359238,0,2,2,0
2623.65,CARD,insufficient_balance,0.8382237607827149,1,2,5,0
1317.3,UPI,insufficient_balance,0.883760116706224,1,3,2,0
9796.72,CARD,temporary_bank_error,0.5399883062560417,1,4,17,0
488.68,NETBANKING,bank_timeout,0.8017174180153076,2,3,9,0
473.56,CARD,account_issue,0.5252815034097001,1,2,23,0
602.21,UPI,account_issue,0.85170802911852,2,3,20,0
131.12,CARD,insufficient_balance,0.7454304018223686,0,1,20,0
648.23,UPI,insufficient_balance,0.38842322407519864,0,0,23,0
513.3,CARD,insufficient_balance,0.7094099259756448,0,5,18,0
1274.61,UPI,account_issue,0.8956002941043474,0,5,18,0
1543.42,UPI,invalid_payment_details,0.6109200493688866,0,6,8,0
7159.32,UPI,network_error,0.4111474484542402,0,6,10,1
2836.78,UPI,bank_timeout,0.5900926659095167,0,1,12,1
615.91,UPI,insufficient_balance,0.6864786720520145,3,2,13,0
446.57,CARD,bank_timeout,0.7638063678756574,0,3,20,1
1793.49,UPI,temporary_bank_error,0.9049931838451394,0,4,11,1
292.88,UPI,invalid_payment_details,0.34666064740191743,0,0,9,0
6846.27,UPI,insufficient_balance,0.8316039374153092,2,1,11,0
3566.86,CARD,insufficient_balance,0.6825440941921747,1,4,1,0
685.96,UPI,account_issue,0.6284540711883358,0,0,17,0
197.72,UPI,bank_timeout,0.5722820574448929,1,3,20,0
4246.59,UPI,bank_timeout,0.5725571850136577,1,2,3,1
977.95,CARD,bank_timeout,0.7389376931305881,0,3,1,1
3781.27,UPI,insufficient_balance,0.7663052482649573,0,3,9,0
222.64,UPI,insufficient_balance,0.4032391400649244,1,1,14,0
602.22,CARD,insufficient_balance,0.7293523650409787,3,1,20,0
1102.4,UPI,insufficient_balance,0.5223472374556973,0,1,23,0
1149.38,UPI,insufficient_balance,0.9402981699692056,0,1,13,0
699.2,UPI,insufficient_balance,0.7948918194895155,0,4,0,0
2044.38,NETBANKING,insufficient_balance,0.5332809353983976,3,5,15,0
377.05,UPI,insufficient_balance,0.7468832142094012,0,2,14,1
951.1,UPI,insufficient_balance,0.9505836996053373,1,5,1,1
1236.82,UPI,bank_timeout,0.6167374073493297,0,6,12,1
1834.34,CARD,temporary_bank_error,0.8212669396444741,0,3,0,0
2234.15,UPI,insufficient_balance,0.6695650474493229,0,2,18,0
356.15,UPI,insufficient_balance,0.6131930621118004,3,5,10,0
236.49,CARD,insufficient_balance,0.513979782911832,1,0,5,0
3935.04,NETBANKING,invalid_payment_details,0.6144880237140987,0,2,2,0
1528.92,CARD,insufficient_balance,0.6415674432973613,1,5,13,0
518.8,UPI,insufficient_balance,0.8769064347848263,2,2,1,0
5172.71,UPI,temporary_bank_error,0.608859686683306,1,4,14,1
1231.11,UPI,insufficient_balance,0.8516267126079703,0,0,1,0
3566.35,CARD,temporary_bank_error,0.6246917010712753,1,2,3,1
1173.23,CARD,invalid_payment_details,0.638435865717765,0,1,1,0
